user_id,signup_date,source_std,plan_selected,trial_started_std,trial_start_date,activated_std,activation_days,converted_paid_std,conversion_date,mrr_std,country_std,churned_30d_std,row_num,is_trial,is_activated,is_converted
1001,2025-02-07,Google Ads,Basic,1,2025-02-07,1,,1,2025-02-28,29,Malaysia,0,1,1,0,0
1001,2025-02-13,FB ads,Pro,1,2025-02-17,1,,0,,0,Malaysia,0,1,1,0,0
1001,2025-02-15,LinkedIn,Pro,1,2025-02-23,1,5.0,1,2025-03-13,49,Indonesia,0,1,1,1,1
1002,2025-01-31,Others,Basic,1,2025-01-31,1,7.0,1,2025-03-05,29,Indonesia,1,1,1,1,1
1002,2025-02-25,FB ads,Basic,1,2025-03-06,1,13.0,0,,0,Malaysia,1,1,1,1,0
1003,2025-02-14,Referral,Pro,1,2025-02-20,1,10.0,0,,0,Indonesia,0,1,1,1,0
1004,2025-01-28,Google Ads,Pro,1,2025-01-28,0,,1,2025-02-16,49,Singapore,0,1,1,0,0
1004,2025-02-13,LinkedIn,Pro,1,2025-02-18,1,,1,2025-03-03,49,Malaysia,1,1,1,0,0
1007,2025-01-05,LinkedIn,Pro,1,2025-01-05,1,,1,2025-01-29,59,Malaysia,1,1,1,0,0
1009,2025-01-26,FB ads,Basic,1,2025-01-26,1,,0,,0,Singapore,0,1,1,0,0
1009,2025-01-29,Google Ads,Basic,1,2025-01-28,0,,1,2025-02-18,29,Singapore,0,1,1,0,0
1009,2025-02-15,LinkedIn,Basic,1,2025-02-24,1,4.0,0,,0,Indonesia,0,1,1,1,0
1010,2025-01-07,Google Ads,Pro,1,2025-01-08,0,,0,,0,Malaysia,1,1,1,0,0
1010,2025-02-19,FB ads,Pro,1,2025-02-16,1,,0,,0,Singapore,0,1,1,0,0
1011,2025-01-02,LinkedIn,Pro,1,2025-01-10,0,,0,,0,Indonesia,1,1,1,0,0
1011,2025-01-05,LinkedIn,Basic,1,2025-01-05,0,,0,,0,Singapore,1,1,1,0,0
1011,2025-01-12,LinkedIn,Pro,1,2025-01-15,1,,0,,0,Malaysia,1,1,1,0,0
1012,2025-01-24,Organic,Basic,0,,0,,0,,0,Malaysia,0,1,0,0,0
1012,2025-02-03,Referral,Basic,1,2025-02-04,0,,0,,0,Malaysia,0,1,1,0,0
1013,2025-01-05,Organic,Basic,0,,0,,1,2025-02-08,29,Indonesia,1,1,0,0,0
1013,2025-01-10,LinkedIn,Basic,1,2025-01-12,0,,1,2025-02-01,29,Singapore,0,1,1,0,0
1016,2025-01-27,Referral,Basic,0,,0,,0,,0,Malaysia,,1,0,0,0
1016,2025-01-31,Others,Pro,1,2025-02-03,0,,0,,0,Indonesia,1,1,1,0,0
1018,2025-01-05,FB ads,Basic,1,2025-01-05,1,,1,2025-01-20,29,Indonesia,1,1,1,0,0
1018,2025-01-09,FB ads,Enterprise,1,2025-01-18,0,,0,,0,Singapore,0,1,1,0,0
1018,2025-02-07,Organic,Basic,1,2025-02-08,1,,0,,0,Singapore,0,1,1,0,0
1018,2025-02-19,LinkedIn,Pro,1,2025-02-23,0,,0,,0,Indonesia,1,1,1,0,0
1018,2025-02-22,Others,Basic,1,2025-03-03,0,,0,,0,Singapore,1,1,1,0,0
1018,2025-03-01,FB ads,Enterprise,1,2025-03-08,0,,1,2025-03-18,99,Malaysia,1,1,1,0,0
1020,2025-01-12,Google Ads,Basic,1,2025-01-14,0,,1,2025-01-19,29,Malaysia,1,1,1,0,0
1021,2025-01-22,LinkedIn,Pro,1,2025-01-22,1,,0,,0,Malaysia,1,1,1,0,0
1021,2025-02-03,LinkedIn,Basic,1,2025-02-09,1,13.0,1,2025-03-07,29,Singapore,1,1,1,1,1
1022,2025-01-27,Others,Basic,1,2025-01-28,1,2.0,1,2025-03-02,29,Malaysia,1,1,1,1,1
1022,2025-02-16,LinkedIn,Basic,1,2025-02-16,0,,1,2025-03-10,29,Singapore,0,1,1,0,0
1023,2025-01-01,Others,Basic,1,2025-01-09,0,,0,,0,Malaysia,1,1,1,0,0
1023,2025-01-05,LinkedIn,Pro,0,,0,,1,2025-02-01,49,Malaysia,0,1,0,0,0
1024,2025-01-20,Others,Basic,1,2025-01-21,0,,0,,0,Singapore,0,1,1,0,0
1024,2025-02-24,Google Ads,Enterprise,1,2025-02-25,1,,0,,0,Singapore,0,1,1,0,0
1025,2025-01-17,Others,Pro,1,2025-01-20,1,13.0,1,2025-02-15,49,Malaysia,,1,1,1,1
1026,2025-02-14,Organic,Pro,0,,0,,0,,0,Malaysia,0,1,0,0,0
