user_id,signup_date,source,plan_selected,trial_started,trial_start_date,activated,activation_days,converted_paid,conversion_date,mrr_usd,country,churned_30d
1860,2025-01-02,FB Ads,Basic,no,,False,,no,,0,Malaysia,True
4772,2025-01-26,Referral,Enterprise,yes,2025-02-03,True,,FALSE,,0,Malaysia,True
4092,2025-02-22,Google Ads,Pro,false,,False,,no,,0,Singapore,True
1466,2025-02-19,FB Ads,Basic,yes,2025-02-22,False,,yes,2025-03-21,29,Indonesia,True
5426,2025-01-14,Google Ads,Basic,yes,2025-01-13,True,,yes,2025-02-15,NULL,Malaysia,False
4444,2025-02-27,Referral,Basic,yes,2025-03-05,TRUE,1.0,FALSE,,0,MY,True
4171,2025-01-16,LinkedIn,Enterprise,TRUE,2025-01-13,False,,yes,2025-02-02,99.99,Malaysia,False
3919,2025-02-23,Referral,Pro,TRUE,2025-02-26,FALSE,,YES,2025-03-19,49.00,MY,false
1130,2025-02-12,FB Ads,Pro,Yes,2025-02-13,True,,no,,0,MY,
2685,2025-02-11,Referral,Basic,yes,2025-02-08,False,,yes,2025-03-05,29,Singapore,true
1769,2025-01-17,LinkedIn,Basic,TRUE,2025-01-22,TRUE,6.0,YES,2025-02-06,29,Malaysia,true
3391,2025-02-15,Google Ads,Pro,yes,2025-02-20,True,,FALSE,,0,SG,true
3433,2025-01-22,google ads,Basic,yes,2025-01-24,FALSE,,yes,2025-02-04,29.00,Singapore,false
2184,2025-01-04,FB Ads,Basic,TRUE,2025-01-11,TRUE,16.0,yes,2025-02-07,29,Indonesia,True
5555,2025-01-19,LinkedIn,Basic,yes,2025-01-24,TRUE,12.0,YES,2025-01-31,29.00,Malaysia,false
4385,2025-01-02,Google Ads,Basic,Yes,2025-01-05,False,,no,,0,Indonesia,false
5117,2025-02-08,Referral,Pro,TRUE,2025-02-12,TRUE,3.0,no,,0,Singapore,false
5843,2025-01-09,FB Ads,Enterprise,yes,2025-01-16,False,,no,,0,Malaysia,False
3904,2025-03-01,FB Ads,Basic,no,,True,,no,,0,Malaysia,true
1474,2025-01-19,google ads,Pro,TRUE,2025-01-17,True,,yes,2025-02-11,49,Malaysia,
2082,2025-01-16,LinkedIn,Basic,yes,2025-01-14,False,,no,,0,Malaysia,True
3558,2025-02-23,Google Ads,Pro,TRUE,2025-02-23,True,,yes,2025-03-24,59,Indonesia,False
3047,2025-01-25,Google Ads,Enterprise,Yes,2025-01-22,FALSE,,YES,2025-02-15,149,Malaysia,true
3747,2025-02-17,Referral,Basic,false,,TRUE,,no,,0,Indonesia,True
1975,2025-01-18,google ads,Basic,false,,True,,YES,2025-02-03,29.00,MY,True
2806,2025-01-23,google ads,Basic,no,,True,,FALSE,,0,Singapore,True
